ViewAuditOccupationSkills List - Total Count: 4690

OccupationName,SkillsName
"HEAD RELACIONAMENTO E NEGÓCIOS","FERRAMENTAS DE GESTÃO DE PESSOAS"
"HEAD RELACIONAMENTO E NEGÓCIOS","LEGISLAÇÃO TRABALHISTA"
"HEAD RELACIONAMENTO E NEGÓCIOS","LEI 8.666/93 - LICITAÇÕES"
"HEAD RELACIONAMENTO E NEGÓCIOS","MÉTODOS ÁGEIS"
"HEAD RELACIONAMENTO E NEGÓCIOS","NEGOCIAÇÃO"
"HEAD RELACIONAMENTO E NEGÓCIOS","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"HEAD RELACIONAMENTO E NEGÓCIOS","PLANILHA ELETRÔNICA"
"EXECUTIVO DE CONTAS III","EDITOR DE APRESENTAÇÕES"
"EXECUTIVO DE CONTAS III","EDITOR DE TEXTOS"
"EXECUTIVO DE CONTAS III","INFORMAÇÕES GERENCIAIS DE MARKETING"
"EXECUTIVO DE CONTAS III","MÉTODOS ÁGEIS"
"EXECUTIVO DE CONTAS III","PLANILHA ELETRÔNICA"
"EXECUTIVO DE CONTAS III","PUBLI"
"EXECUTIVO DE CONTAS III","GESTÃO DE PROJETOS"
"EXECUTIVO DE CONTAS II","EDITOR DE TEXTOS"
"EXECUTIVO DE CONTAS II","INFORMAÇÕES GERENCIAIS DE MARKETING"
"EXECUTIVO DE CONTAS II","PLANILHA ELETRÔNICA"
"EXECUTIVO DE CONTAS II","PUBLI"
"EXECUTIVO DE CONTAS II","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"EXECUTIVO DE CONTAS I","EDITOR DE APRESENTAÇÕES"
"EXECUTIVO DE CONTAS I","EDITOR DE TEXTOS"
"EXECUTIVO DE CONTAS I","PLANILHA ELETRÔNICA"
"EXECUTIVO DE CONTAS I","PUBLI"
"EXECUTIVO DE CONTAS I","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"ASSISTENTE DE ATENDIMENTO","EDITOR DE APRESENTAÇÕES"
"ASSISTENTE DE ATENDIMENTO","PLANILHA ELETRÔNICA"
"ASSISTENTE DE ATENDIMENTO","PUBLI"
"ASSISTENTE DE ATENDIMENTO","EDITOR DE TEXTOS"
"Analista de Back End","LÓGICA DE PROGRAMAÇÃO"
"Analista de Back End","COMPROMISSO COM A SEGURANÇA"
"Analista de Front End","LÓGICA DE PROGRAMAÇÃO"
"Analista de Front End","FERRAMENTAS DE AVALIAÇÃO PSICOLÓGICA"
"Especialista de Infra Estrutura","PLANILHA ELETRÔNICA"
"Especialista de Infra Estrutura","CONCILIAÇÃO FINANCEIRA"
"Assistente de Atendimento","CENTRAL TELEFÔNICA"
"Assistente de Atendimento","GESTÃO DE CONHECIMENTO"
"Coordenador de Produto","EMPATIA"
"Coordenador de Produto","ANALISE DE PROCESSOS"
"Assistente de Escala","FROTA DE VEÍCULOS DA EMPRESA"
"Assistente de Escala","LEGISLAÇÃO DO MOTORISTA"
"Assistente de Escala","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Assistente de Escala","MATRIZ DE OPERAÇÃO DO GRUPO"
"Assistente de Escala","PACOTE OFFICE INTERMEDIÁRIO"
